ID,ApplicationDate_financial,AnnualIncome,EmploymentStatus,Experience,LoanDuration,NumberOfDependents,MonthlyDebtPayments,NumberOfOpenCreditLines,BankruptcyHistory,PreviousLoanDefaults,LengthOfCreditHistory,CheckingAccountBalance,TotalLiabilities,NetWorth,LoanApproved,ApplicationDate_demographic,Age,CreditScore,EducationLevel,LoanAmount,MaritalStatus,HomeOwnershipStatus,CreditCardUtilizationRate,NumberOfCreditInquiries,LoanPurpose,PaymentHistory,SavingsAccountBalance,TotalAssets,JobTenure,InterestRate,RiskScore,MonthlyIncome,MonthlyLoanPayment,TotalDebtToIncomeRatio
A011,11-01-2018,73646,Employed,10,84,3,267,4,0,0,7,3875,20315,128651.0,0,11-01-2018,34,478,Associate,48716,Single,Own,21.1,1,Auto,25,9266,148966.0,4,33.35,47.0,6137.166666666667,579.952380952381,13.800380973071952
A012,12-01-2018,15000,Employed,11,24,2,295,5,0,0,28,348,3353,29709.0,0,12-01-2018,34,591,Bachelor,30088,Married,Mortgage,3.12,1,Home,21,259,33062.0,3,18.24,56.0,1250.0,1253.6666666666667,123.89333333333335
A013,13-01-2018,74453,Employed,21,60,1,258,6,0,0,7,1633,35493,5231.0,0,13-01-2018,42,573,Bachelor,16154,Married,Rent,527.0,0,Debt Consolidation,26,781,16204.0,5,25.56,56.0,6204.416666666667,269.23333333333335,8.497709964675701
A014,14-01-2018,100508,Employed,0,60,1,247,5,0,1,3,916,99030,82783.0,0,14-01-2018,18,580,Associate,20439,Married,Rent,16.8,2,Other,20,2027,181813.0,6,24.53,63.0,8375.666666666666,340.65,7.01615791777769
A015,15-01-2018,47624,Employed,0,36,1,196,2,0,0,21,576,9418,35918.0,0,15-01-2018,19,597,Bachelor,27197,Married,Mortgage,11.4,1,Debt Consolidation,15,2971,45336.0,3,20.22,58.0,3968.6666666666665,755.4722222222222,23.974606640909347
A016,16-01-2018,56650,Employed,11,36,1,336,4,0,0,15,131,11144,208961.625,1,16-01-2018,33,605,Doctorate,12652,Single,Mortgage,4.23,0,Auto,21,242,246742.75,2,21.64,33.0,4720.833333333333,351.44444444444446,14.56192997940571
A017,17-01-2018,50042,Employed,7,60,1,680,6,0,0,14,1219,89196,7021.0,0,17-01-2018,27,582,Doctorate,19105,Single,Rent,10.3,3,Debt Consolidation,36,2214,11162.0,5,18.71,53.0,4170.166666666667,318.4166666666667,23.941888813396748
A018,18-01-2018,138459,Employed,24,96,2,772,1,0,0,2,856,4213,69623.0,1,18-01-2018,43,644,Bachelor,13499,Widowed,Mortgage,22.2,2,Other,18,13247,73836.0,5,22.37,39.0,11860.5,140.61458333333334,7.6945709146607095
A019,19-01-2018,16021,Employed,8,72,0,286,5,0,1,12,1127,25345,3933.0,0,19-01-2018,29,553,High School,14655,Single,Rent,5.56,1,Debt Consolidation,25,8651,29278.0,4,23.47,59.0,1335.0833333333333,203.54166666666666,36.667498907683665
A020,20-01-2018,34698,Employed,0,60,3,755,5,0,0,29,2098,72605,55430.0,0,20-01-2018,23,594,Associate,14314,Widowed,Mortgage,18.7,0,Debt Consolidation,27,3721,128035.0,5,23.14,48.0,2891.5,238.56666666666666,34.36163467635022
A021,21-01-2018,106749,Employed,30,48,0,1059,0,0,0,14,4304,8152,204416.0,1,21-01-2018,57,630,Master,15698,Single,Rent,13.2,1,Auto,21,1686,212568.0,4,20.44,32.0,8895.75,327.0416666666667,15.58094221023148
A022,22-01-2018,59138,Employed,14,72,0,564,2,0,0,9,5192,18681,5576.0,0,22-01-2018,37,594,Associate,13205,Married,Own,3.93,1,Auto,18,1187,24257.0,4,21.14,51.0,4928.166666666667,183.40277777777777,15.165939553811988
A023,23-01-2018,114216,Employed,17,60,3,571,3,0,0,2,2127,27250,2482.0,1,23-01-2018,40,635,Doctorate,9809,Single,Rent,22.4,1,Home,26,720,23984.0,10,20.11,46.0,9518.0,163.48333333333332,7.71678223716467
A024,24-01-2018,63300,Employed,0,24,2,376,3,0,0,7,1735,53225,6903.0,0,24-01-2018,22,503,Associate,16476,Married,Rent,3.89,1,Home,29,2154,14710.0,5,23.16,53.0,5275.0,686.5,20.14218009478673
A025,25-01-2018,39676,Employed,12,60,1,199,2,0,0,4,1085,76577,81172.0,0,25-01-2018,33,555,Master,47795,Single,Other,3.46,1,Home,19,840,157749.0,4,25.34,60.0,3306.3333333333335,796.5833333333334,30.111402359108784
A026,26-01-2018,59192,Unemployed,16,36,4,222,4,0,0,1,3449,9196,58413.0,0,26-01-2018,41,594,High School,45608,Divorced,Mortgage,4.09,0,Auto,18,21084,67609.0,3,20.06,58.0,4932.666666666667,1266.888888888889,30.184259134117223
A027,27-01-2018,15059,Employed,0,24,3,443,2,0,0,25,7335,13107,16754.0,0,27-01-2018,26,462,Associate,20240,Single,Other,9.88,0,Home,16,713,29861.0,12,24.6,51.0,1254.9166666666667,843.3333333333334,102.50348628727008
A028,28-01-2018,15305,Self-Employed,23,48,4,443,1,0,0,29,979,7005,9931.0,0,28-01-2018,44,608,Bachelor,21452,Single,Mortgage,11.1,1,Home,21,9547,16936.0,2,22.53,51.0,1275.4166666666667,446.9166666666667,69.77458346945443
A029,29-01-2018,35498,Employed,10,36,0,698,2,0,0,17,205,31484,2705.0,0,29-01-2018,32,622,Master,11136,Married,Own,3.9,0,Home,18,1346,34189.0,3,16.48,48.0,2958.1666666666665,309.3333333333333,34.05262268296806
A030,30-01-2018,60227,Employed,14,84,3,458,3,0,0,28,1993,35773,105395.0,1,30-01-2018,36,576,Bachelor,25264,Divorced,Own,2.78,1,Home,27,5391,141168.0,5,23.91,36.0,5018.916666666667,300.76190476190476,15.118041504877976
A031,31-01-2018,23861,Self-Employed,10,36,0,521,2,0,0,27,1072,8627,76539.0,0,31-01-2018,32,592,High School,19570,Married,Other,2.32,3,Auto,29,3348,85166.0,8,19.7,55.0,1988.4166666666667,543.6111111111111,53.54064512523923
A032,01-02-2018,73843,Unemployed,37,60,1,388,7,1,0,3,3352,90622,3068.0,0,01-02-2018,62,667,Master,44668,Single,Other,29.5,2,Home,16,17023,56887.0,5,23.46,62.0,6153.583333333333,744.4666666666667,18.403369310564308
A033,02-02-2018,61099,Employed,19,84,0,380,1,0,0,19,1795,23540,46283.0,0,02-02-2018,39,559,Bachelor,10094,Married,Mortgage,1.28,0,Auto,21,2987,69823.0,4,26.1,51.0,5091.583333333333,120.16666666666667,9.823401364997792
A034,03-02-2018,15000,Employed,4,120,2,721,2,0,0,18,3835,13680,208961.625,0,03-02-2018,27,535,High School,11318,Single,Mortgage,5.82,3,Home,15,4172,246742.75,1,34.35,53.0,1250.0,94.31666666666666,65.22533333333332
A035,04-02-2018,34738,Employed,25,72,2,388,3,0,0,4,2757,10972,208961.625,0,04-02-2018,49,520,Associate,10166,Single,Mortgage,5.66,3,Home,27,1767,246742.75,2,27.39,55.0,2894.8333333333335,141.19444444444446,18.280653271153586
A036,05-02-2018,85889,Employed,3,72,2,870,4,0,0,10,1110,5554,13345.0,0,05-02-2018,25,571,Bachelor,24186,Married,Rent,33.1,0,Education,31,14921,18899.0,4,27.96,49.0,7157.416666666667,335.9166666666667,16.84849049354399
A037,06-02-2018,78701,Employed,18,60,1,482,6,0,0,19,1585,30154,140566.0,1,06-02-2018,42,552,Associate,18326,Married,Rent,1.88,1,Home,25,463,170720.0,7,21.89,36.0,6558.416666666667,305.43333333333334,12.006454809977003
A038,07-02-2018,24914,Employed,0,36,4,327,1,0,0,28,199,8146,41853.0,1,07-02-2018,18,604,Master,8015,Married,Mortgage,3.76,4,Auto,17,2612,49999.0,7,15.28,45.0,2076.1666666666665,222.63888888888889,26.473736319606115
A039,08-02-2018,57231,Unemployed,0,48,4,370,3,0,0,21,242,73682,140547.0,0,08-02-2018,24,508,Associate,35876,Married,Rent,572.0,0,Auto,20,7737,214229.0,8,23.04,50.0,4769.25,747.4166666666666,23.429609826842093
A040,09-02-2018,138459,Self-Employed,23,72,2,337,3,0,0,1,309,17900,97422.0,1,09-02-2018,42,655,Bachelor,12850,Single,Other,35.7,0,Debt Consolidation,19,3012,115322.0,8,18.95,37.0,13608.583333333334,178.47222222222223,3.7878463143155154
A041,10-02-2018,38453,Unemployed,26,48,0,560,0,0,0,20,1539,3481,42871.0,0,10-02-2018,48,595,High School,30517,Divorced,Own,3.82,0,Home,22,5165,46352.0,6,22.62,54.0,3204.4166666666665,635.7708333333334,37.31633422619822
A042,11-02-2018,99920,Self-Employed,20,12,3,298,3,0,0,11,288,23569,4209.0,1,11-02-2018,42,582,Bachelor,23363,Single,Other,615.0,2,Debt Consolidation,20,991,27778.0,10,17.54,44.0,8326.666666666666,1946.9166666666667,26.960568454763816
A043,12-02-2018,57860,Employed,20,96,4,159,3,0,0,1,427,25653,208961.625,0,12-02-2018,38,591,High School,25576,Married,Rent,14.4,0,Auto,27,2059,246742.75,8,28.76,47.0,4821.666666666667,266.4166666666667,8.8230210853785
A044,13-02-2018,30890,Employed,16,24,2,289,3,0,0,6,249,28334,14676.0,0,13-02-2018,36,590,High School,10176,Divorced,Own,2.13,1,Education,23,11162,43010.0,7,17.65,53.0,2574.1666666666665,424.0,27.69828423438006
A045,14-02-2018,15561,Employed,1,36,2,346,6,0,0,13,1463,5913,11052.0,0,14-02-2018,22,500,High School,20169,Single,Rent,10.4,0,Debt Consolidation,25,1929,16965.0,4,24.23,55.0,1296.75,560.25,69.88625409678042
A046,15-02-2018,105957,Employed,7,72,0,399,0,0,0,16,208,69541,95758.0,0,15-02-2018,31,530,High School,53725,Single,Other,46.4,0,Auto,31,4218,165299.0,3,32.67,54.0,8829.75,749.8194444444445,13.01078110302607
A047,16-02-2018,82887,Employed,13,84,2,471,2,0,0,8,1246,117394,4958.0,0,16-02-2018,34,545,High School,20996,Divorced,Other,37.4,0,Other,19,16502,17748.0,2,27.95,50.0,6907.25,249.95238095238096,10.437618168625443
A048,17-02-2018,53555,Employed,31,60,1,221,0,0,0,20,1607,27582,2753.0,0,17-02-2018,52,631,Associate,29418,Divorced,Own,2.57,1,Education,28,9902,12300.0,4,21.76,47.0,4462.916666666667,490.3,15.938007655681075
A049,18-02-2018,105639,Employed,20,108,0,387,1,0,0,21,5476,22300,142935.0,0,18-02-2018,44,627,High School,20409,Widowed,Rent,28.2,4,Home,22,3379,165235.0,5,26.37,46.0,8803.25,188.97222222222223,6.542722542495353
A050,19-02-2018,58342,Employed,0,24,3,592,3,0,0,7,230,15562,9558.0,0,19-02-2018,18,519,High School,10077,Single,Mortgage,1.59,0,Debt Consolidation,20,5076,25120.0,8,26.06,50.0,4861.833333333333,419.875,20.812622124712902
A051,20-02-2018,121939,Employed,25,48,0,220,2,0,0,12,4000,2457,185710.0,1,20-02-2018,43,653,Doctorate,41215,Divorced,Mortgage,5.32,1,Other,30,1365,188167.0,8,18.46,32.0,10161.583333333334,858.6458333333334,10.61493861684941
A052,21-02-2018,16054,Employed,13,36,1,465,1,0,0,21,665,11870,39270.0,0,21-02-2018,35,526,Associate,20612,Married,Own,14.4,2,Education,25,4127,51140.0,6,23.16,53.0,1337.8333333333333,572.5555555555555,77.55491881566381
A053,22-02-2018,36057,Employed,11,36,3,384,4,0,0,12,438,56982,1500.0,0,22-02-2018,31,592,Associate,29501,Married,Other,231.0,0,Home,18,2220,19637.0,4,21.42,51.0,3004.75,819.4722222222222,40.05232456018711
A054,23-02-2018,124086,Employed,27,24,3,713,6,0,0,24,1704,21593,10479.0,1,23-02-2018,47,631,High School,36798,Widowed,Mortgage,22.4,1,Auto,27,3281,32072.0,6,16.76,39.0,10340.5,1533.25,21.722837386973552
A055,24-02-2018,138459,Employed,28,84,0,278,2,0,0,13,1835,5443,88895.0,1,24-02-2018,52,586,Bachelor,19717,Married,Rent,3.72,2,Auto,19,801,94338.0,8,21.81,38.0,22724.416666666668,234.72619047619048,2.25627877712823
A056,25-02-2018,48757,Employed,27,84,3,817,1,0,0,19,266,97462,3120.0,0,25-02-2018,51,615,Bachelor,16173,Divorced,Mortgage,21.0,0,Debt Consolidation,28,21739,39354.0,2,22.13,51.0,4063.0833333333335,192.53571428571428,24.846542181488957
A057,26-02-2018,31683,Employed,5,24,2,183,4,0,0,12,2581,123883,154938.0,0,26-02-2018,29,498,Associate,10566,Married,Other,44.3,2,Debt Consolidation,22,30896,246742.75,5,20.94,48.0,2640.25,440.25,23.605719155383014
A058,27-02-2018,69003,Self-Employed,11,96,4,458,6,0,0,11,1153,23994,13502.0,1,27-02-2018,36,499,Associate,5376,Single,Mortgage,3.67,2,Auto,28,983,37496.0,3,24.84,42.0,5750.25,56.0,8.938741793835051
A059,28-02-2018,72408,Employed,18,48,0,803,1,1,0,29,305,33442,5786.0,0,28-02-2018,43,616,Bachelor,23181,Married,Rent,23.4,2,Debt Consolidation,22,3815,22524.0,4,25.22,63.0,6034.0,482.9375,21.311526350679483
A060,01-03-2018,105087,Employed,33,108,1,772,5,0,1,24,2121,59261,142052.0,0,01-03-2018,51,653,Master,48331,Single,Mortgage,11.6,1,Auto,22,21204,201313.0,4,27.37,44.0,8757.25,447.50925925925924,13.925710231628184
A061,02-03-2018,15000,Employed,11,96,1,468,1,0,0,22,2085,11163,208961.625,0,02-03-2018,34,607,Master,26412,Married,Own,3.12,2,Home,18,2232,234374.0,6,27.64,48.0,1250.0,275.125,59.45
A062,03-03-2018,38513,Self-Employed,16,48,2,373,2,0,0,29,340,28653,16183.0,0,03-03-2018,37,600,High School,21225,Divorced,Rent,5.18,0,Education,22,1458,44836.0,4,23.11,51.0,3209.4166666666665,442.1875,25.399864980655884
A063,04-03-2018,77555,Employed,5,36,0,499,6,0,0,22,691,9580,29447.0,1,04-03-2018,26,527,Bachelor,22854,Married,Rent,954.0,1,Education,19,8710,39027.0,5,19.99,39.0,6462.916666666667,634.8333333333334,17.543678679646703
A064,05-03-2018,15000,Employed,1,48,0,528,6,0,0,3,1111,274582,1077.0,0,05-03-2018,25,576,High School,18177,Single,Mortgage,2.73,1,Home,25,5689,99036.0,3,21.98,57.0,1250.0,378.6875,72.535
A065,06-03-2018,24973,Employed,30,48,3,336,1,0,0,12,1547,30121,14823.0,0,06-03-2018,49,611,Bachelor,17466,Married,Own,2.8,0,Auto,23,3167,44944.0,9,22.14,55.0,2081.0833333333335,363.875,33.63032074640611
A066,07-03-2018,18248,Employed,37,24,0,733,2,0,0,20,548,11483,192648.0,0,07-03-2018,56,574,Associate,16443,Divorced,Own,2.83,1,Home,23,2682,204131.0,2,17.36,48.0,1520.6666666666667,685.125,93.25679526523454
A067,08-03-2018,67367,Self-Employed,15,48,1,317,4,0,0,24,5430,16012,99087.0,1,08-03-2018,39,615,Associate,26889,Married,Mortgage,796.0,0,Debt Consolidation,29,8241,115099.0,4,17.15,42.0,5613.916666666667,560.1875,15.625231938486202
A068,09-03-2018,32418,Employed,29,12,2,447,1,0,0,3,533,12696,208961.625,0,09-03-2018,52,647,Bachelor,32208,Married,Rent,4.13,0,Auto,26,2926,246742.75,3,15.07,50.0,2701.5,2684.0,115.89857486581529
A069,10-03-2018,26879,Employed,21,60,1,562,3,0,0,29,3740,23485,71090.0,0,10-03-2018,44,649,Bachelor,20313,Married,Rent,4.33,2,Home,22,4029,94575.0,5,19.89,50.0,2239.9166666666665,338.55,40.20462070761561
A070,11-03-2018,54128,Employed,11,36,0,322,2,0,0,7,388,4196,87804.0,1,11-03-2018,32,620,Bachelor,20676,Single,Mortgage,2.63,1,Home,32,4943,92000.0,1,17.77,36.0,4510.666666666667,574.3333333333334,19.871415903044635
A071,12-03-2018,19924,Employed,20,48,0,495,3,0,0,19,1679,8051,14660.0,0,12-03-2018,44,535,High School,21767,Married,Mortgage,24.5,0,Education,32,21032,22711.0,8,29.91,56.0,1660.3333333333333,453.4791666666667,57.12582814695845
A072,13-03-2018,90788,Employed,34,36,2,153,3,0,0,21,1139,32218,5911.0,1,13-03-2018,58,672,Bachelor,18243,Married,Mortgage,2.97,0,Debt Consolidation,20,1980,13542.0,6,14.04,34.0,7565.666666666667,506.75,8.720315460192976
A073,14-03-2018,138459,Employed,16,36,3,304,4,0,0,8,956,38230,115773.0,1,14-03-2018,39,619,Master,28894,Single,Mortgage,2.63,1,Other,24,2857,154003.0,6,21.41,33.0,15870.416666666666,802.6111111111111,6.972791794656375
A074,15-03-2018,35372,Employed,38,24,1,424,3,0,0,26,3235,4752,119179.0,0,15-03-2018,58,612,High School,25313,Married,Mortgage,291.0,0,Education,20,2811,123931.0,3,19.69,50.0,2947.6666666666665,1054.7083333333333,50.165385050322286
A075,16-03-2018,15000,Employed,0,48,1,537,10,0,1,26,3286,71478,82198.0,0,16-03-2018,18,570,Associate,50226,Married,Mortgage,20.8,0,Debt Consolidation,16,3575,153676.0,3,22.83,58.0,1250.0,1046.375,126.67
A076,17-03-2018,40829,Employed,25,36,1,785,3,0,0,14,1111,7348,34774.0,0,17-03-2018,49,617,Bachelor,25478,Married,Mortgage,7.32,0,Auto,11,2267,42122.0,0,17.93,49.0,3402.4166666666665,707.7222222222222,43.87241094973344
A077,18-03-2018,58655,Employed,16,96,4,206,4,0,0,13,1731,41991,22423.0,0,18-03-2018,41,523,Associate,26493,Single,Mortgage,4.15,0,Other,24,2003,64414.0,1,33.44,51.0,4887.916666666667,275.96875,9.860412582047566
A078,19-03-2018,68801,Employed,14,36,0,1044,1,0,1,16,630,16938,208961.625,0,19-03-2018,36,531,Bachelor,18652,Single,Rent,16.5,2,Auto,30,1810,246742.75,2,28.57,53.0,5733.416666666667,518.1111111111111,27.24572801751912
A079,20-03-2018,92731,Employed,19,48,1,396,4,0,0,3,1004,14838,7629.0,0,20-03-2018,41,619,Bachelor,31116,Single,Rent,12.3,1,Home,20,3025,11209.0,3,21.54,50.0,7727.583333333333,648.25,13.51328034853501
A080,21-03-2018,40050,Self-Employed,0,48,1,406,4,0,1,2,726,29714,7672.0,0,21-03-2018,18,545,Doctorate,53725,Married,Rent,3.06,1,Home,33,1506,18390.0,4,35.84,64.0,3337.5,2338.6041666666665,82.23533083645442
A081,22-03-2018,40784,Employed,14,72,0,370,3,0,0,27,1394,25549,172083.0,0,22-03-2018,37,618,Master,41465,Married,Own,17.4,0,Home,26,21978,197632.0,4,29.27,45.0,3398.6666666666665,575.9027777777778,27.831584281417552
A082,23-03-2018,15000,Employed,23,48,0,378,3,0,0,21,2246,22556,208961.625,0,23-03-2018,44,588,High School,26563,Married,Mortgage,30.8,3,Home,24,1357,246742.75,6,20.98,48.0,1250.0,553.3958333333334,74.51166666666667
A083,24-03-2018,86699,Employed,39,60,0,413,6,0,0,24,8480,70691,8130.0,1,24-03-2018,57,615,Associate,7469,Single,Rent,11.3,2,Home,18,1872,36531.0,6,19.88,36.0,7224.916666666667,124.48333333333333,7.439301491366683
A084,25-03-2018,17676,Employed,8,48,4,226,4,0,0,21,1994,22271,48674.0,0,25-03-2018,33,540,Associate,17801,Married,Own,15.3,1,Debt Consolidation,38,8380,70945.0,5,24.38,55.0,1473.0,370.8541666666667,40.51963113826658
A085,26-03-2018,42752,Employed,4,36,2,363,3,0,0,2,1404,26438,146382.0,0,26-03-2018,30,517,High School,14379,Married,Rent,3.57,0,Auto,18,6094,172820.0,4,23.96,53.0,3562.6666666666665,399.4166666666667,21.400168413173656
A086,27-03-2018,29096,Employed,12,24,3,685,2,0,0,19,1471,50013,36237.0,0,27-03-2018,33,570,Associate,40138,Married,Other,14.1,1,Debt Consolidation,28,1461,86250.0,4,24.86,53.0,2424.6666666666665,1672.4166666666667,97.22642287599672
A087,28-03-2018,60992,Employed,30,48,0,664,0,0,0,17,1723,13350,38852.0,0,28-03-2018,50,663,Bachelor,24642,Single,Rent,25.2,0,Home,28,4726,52202.0,4,21.64,44.0,5082.666666666667,513.375,23.164513378803775
A088,29-03-2018,100032,Employed,21,60,0,824,5,1,0,29,302,4301,45588.0,1,29-03-2018,43,524,Master,19105,Married,Mortgage,10.6,0,Education,24,9197,49889.0,6,20.96,49.0,8336.0,318.4166666666667,13.704614523352527
A089,30-03-2018,35882,Employed,11,48,0,257,3,0,0,11,1162,91262,8266.0,0,30-03-2018,33,620,Master,9259,Single,Own,17.0,0,Home,23,3552,61154.0,3,20.0,47.0,2990.1666666666665,192.89583333333334,15.045844713226689
A090,31-03-2018,32781,Employed,22,60,1,1180,4,0,0,19,2122,4938,208961.625,0,31-03-2018,46,623,High School,17468,Married,Other,8.74,0,Debt Consolidation,23,7428,246742.75,2,23.2,41.0,2731.75,291.1333333333333,53.853146639821844
A091,01-04-2018,51707,Employed,18,72,3,407,5,0,0,7,1252,24580,2253.0,0,01-04-2018,41,585,Bachelor,20069,Married,Rent,59.2,0,Home,25,3815,24114.0,4,26.82,51.0,4308.916666666667,278.7361111111111,15.914350732653862
A092,02-04-2018,31251,Unemployed,30,24,0,357,2,0,1,25,945,37940,3276.0,0,02-04-2018,51,596,Bachelor,53725,Single,Rent,5.66,2,Home,21,2313,30153.0,5,24.74,61.0,2604.25,2774.25,120.23615244312182
A093,03-04-2018,22359,Employed,11,48,2,216,5,0,0,8,3578,46881,84640.0,0,03-04-2018,31,524,High School,26889,Married,Mortgage,22.1,1,Auto,14,24764,131521.0,4,24.07,57.0,1863.25,560.1875,41.65772172279619
A094,04-04-2018,138459,Employed,12,48,3,148,3,0,0,25,587,89100,37909.0,1,04-04-2018,36,610,Associate,24815,Married,Other,10.3,1,Home,21,4346,127009.0,6,21.35,38.0,12720.833333333334,516.9791666666666,5.2274811660661635
A095,05-04-2018,15120,Self-Employed,11,84,0,423,5,0,0,26,1245,14697,3825.0,0,05-04-2018,35,562,Master,21849,Married,Rent,5.15,1,Debt Consolidation,24,1874,18522.0,5,24.41,58.0,1260.0,260.10714285714283,54.21485260770975
A096,06-04-2018,59830,Self-Employed,0,24,2,246,3,0,0,9,329,13537,208961.625,1,06-04-2018,22,570,Associate,22734,Single,Rent,432.0,2,Debt Consolidation,29,2511,246742.75,7,17.46,45.0,4985.833333333333,947.25,23.932809627277287
A097,07-04-2018,55308,Employed,22,72,0,362,3,0,0,24,932,7871,93747.0,1,07-04-2018,43,645,Doctorate,19539,Single,Other,7.15,0,Debt Consolidation,29,5995,101618.0,4,16.96,36.0,4609.0,271.375,13.742134953352137
A098,08-04-2018,30948,Employed,17,36,0,286,1,0,0,25,291,21318,78660.0,0,08-04-2018,43,601,Bachelor,25291,Married,Mortgage,5.09,0,Auto,19,7167,99978.0,9,22.33,49.0,2579.0,702.5277777777778,38.32988669165482
A099,09-04-2018,56940,Employed,21,96,0,213,3,0,0,7,634,33321,64448.0,0,09-04-2018,40,592,Associate,15752,Married,Mortgage,4.25,0,Debt Consolidation,20,1349,97769.0,5,26.16,50.0,4745.0,164.08333333333334,7.946961714085003
A100,10-04-2018,44000,Employed,13,60,3,457,3,0,0,29,2939,29418,208961.625,0,10-04-2018,37,539,High School,28714,Married,Rent,41.4,1,Home,10,5872,246742.75,8,24.41,46.0,3666.6666666666665,478.56666666666666,25.515454545454546
A101,11-04-2018,81554,Employed,4,72,1,519,5,0,0,24,1955,14641,69780.0,0,11-04-2018,23,509,High School,35101,Married,Rent,3.57,0,Home,23,3233,84421.0,5,31.65,49.0,6796.166666666667,487.5138888888889,14.810023624428803
A102,12-04-2018,26567,Employed,13,60,1,194,1,0,0,14,512,81589,9625.0,0,12-04-2018,34,612,Bachelor,17339,Single,Mortgage,8.73,1,Education,17,2738,55729.0,4,23.21,48.0,2213.9166666666665,288.98333333333335,21.81578650205142
A103,13-04-2018,33569,Employed,9,48,0,212,3,0,0,8,12534,23346,33106.0,0,13-04-2018,35,596,Bachelor,37172,Divorced,Mortgage,2.62,0,Home,20,2103,56452.0,6,22.45,51.0,2797.4166666666665,774.4166666666666,35.261699782537455
A104,14-04-2018,94238,Employed,6,36,3,203,3,0,0,2,7940,13137,41531.0,1,14-04-2018,30,608,Bachelor,15917,Married,Own,16.4,2,Home,23,3382,54668.0,3,18.76,44.0,7853.166666666667,442.1388888888889,8.215015881774514
A105,15-04-2018,45145,Employed,17,48,1,879,5,0,0,24,2678,26515,93155.0,1,15-04-2018,38,587,Bachelor,11431,Divorced,Mortgage,1.26,0,Education,27,7060,119670.0,9,19.61,40.0,3762.0833333333335,238.14583333333334,29.694872078857014
A106,16-04-2018,70881,Employed,23,48,0,324,1,0,0,19,1136,21804,1188.0,0,16-04-2018,44,597,Master,34590,Divorced,Rent,30.4,1,Home,22,2050,3628.0,8,21.41,50.0,5906.75,720.625,17.68527532060778
A107,17-04-2018,105240,Employed,39,108,3,391,6,1,0,26,2516,28628,33814.0,0,17-04-2018,62,656,Associate,13937,Widowed,Mortgage,24.8,2,Home,32,1960,62442.0,4,22.97,55.0,8770.0,129.0462962962963,5.929832340892774
